Partner ID,Partner Type,Partner Name,Date,Group Number,Feedback Type,Feedback Message,What was done?
PRT-25,PRT_Partner_DMC,Venus Travel,2023-01-01,L1381,Bad,"Bus Samco is pretty old, problem to open the door",Ánh noted that for our booking 29s should be Thaco one
PRT-25,PRT_Partner_DMC,Venus Travel,2025-04-19,W225,Bad,"In Danang we get a pretty old 32seat Samco for the BaNa Hill tour, but it was replaced for the way back from BaNa. IT was late booking, so maybe they didn't have another bus for the morning transfer",
PRT-25,PRT_Partner_DMC,Venus Travel,2024-05-08,L1382,Bad,driver didn't have our welcome board,"Sương contact chị Ánh
say sorry and will remind all driver"
PRT-25,PRT_Partner_DMC,Venus Travel,2023-12-29,L2381,Bad,"Bus Samco is pretty old, problem to open the door","Sương contact chị Ánh
Ánh noted that for our booking 29s should be Thaco one"
GDE-40,GDE_Guide,My  - MHP ,2023-11-11,L1559,Bad,"Late when pick up with wrong name board, doesn't understand Slawek",banned
GDE-63,GDE_Guide,Doan Dang Khoi - Venus ,2023-11-13,L969,Good,"they really praised him for his knowledge and patience. Well organized, nice English, everything.",
GDE-36,GDE_Guide,Viet Dung - MHP ,2023-11-13,L969,Good,"However, they said he was very professional and super well organized",
GDE-36,GDE_Guide,Viet Dung - MHP ,2023-11-13,L969,Bad,was a bit impatient when one lady kept asking questions while he was in the middle of his sentence. e also took them to Lacquer Painting store even though they didn't ask for it,
FNB-30,FNB_Restaurant,Cai Mam - Dao Duy Tu Branch,2023-11-13,L969,Good,They really liked their first dinner in Hanoi,
FNB-26,FNB_Restaurant,Truong An Ninh Binh,2023-11-13,L969,Good,good ,
FNB-18,FNB_Restaurant,Bia Hoi Lan Chin ,2023-11-13,L969,Bad,Most of them hated the food at bia hoi place and the fact that it was quite dirty,
CRS-08,CRS_Cruise,La Casta Cruise ,2023-11-13,L969,Good,"They liked the boat and the crew, but strongly suggested we/the crew should inform the guests to take shoes for kayaking",
HMS-28,HMS_Homestay,Tam Coc Rice Fields homestay,2023-11-15,L1337,Bad,"Arrange wrong room (DBL instead of Triple), breakfast was pretty sweet and cold pool","Suong contact reception
owner says sorry for mistake and bring more blanket for guest"
GDE-64,GDE_Guide,Doan Quan Oanh  - Venus ,2023-11-20,L1337,Bad,"Not good English, couldn’t understand simple questions, little initiative",
GDE-16,GDE_Guide,Phan Thi Truc Ngan,2023-11-20,L1337,Good,Excellent guide.,
CRS-12,CRS_Cruise,Swan Cruise,2023-11-20,L1337,Good,great guide on Swan Cruise and Bai Tu Long was very nice despite poor weather,
HTL-27,HTL_Hotel,Sanakeo Boutique Hotel & Spa Lao,2023-11-30,W121,Good,very nice hotel just a bit far from centre – needs tuk-tuk every time,
HTL-20,HTL_Hotel,Nong Kiau Riverside,2023-11-30,W121,Good,super nice hotel,
HTL-17,HTL_Hotel,Nouvo City Hotel,2023-11-30,W121,Bad,"Nuovo is ok, but not suitable for a ‘craft’ tour for Polish market when it’s so packed with Polish guests all around the area.
some rooms smell a bit damp
The front desk is super slow with check-in and makes mistakes",
HTL-162,HTL_Hotel,Lotus Blanc ,2023-11-30,W121,Good,was amazing and everyone loved it for the space and pool ,
GDE-103,GDE_Guide,Nui Kanook - Robert ,2023-11-30,W121,Bad,"Drunk during the tour, 
During the day tour in Grand Palace he was on the phone a lot before the Emerald Buddha temple and then told us to move on without visiting the temple because ‘we had no time’ left",
GDE-102,GDE_Guide,Yee Wang - Robert ,2023-11-30,W121,Good,"was very friendly, accommodating, and professional for the first 2 days
Had ok English (not best, guests would not understand all)",
GDE-102,GDE_Guide,Yee Wang - Robert ,2023-11-30,W121,Bad,he and drivers went drinking and overslept for the next morning. We had to wait about 25 minutes before they showed up,
GDE-101,GDE_Guide,Makara - Robert ,2023-11-30,W121,Good,"an excellent guide, extremely friendly and professional, great English",
FNB-68,FNB_Restaurant,Khmer Kitchen,2023-11-30,W121,Good,restaurants were all very nice,
FNB-67,FNB_Restaurant,Changkran Khmer,2023-11-30,W121,Good,restaurants were all very nice.,
FNB-66,FNB_Restaurant,The Sugar Palm,2023-11-30,W121,Good,restaurants were all very nice,
HTL-60,HTL_Hotel,Le Jardin Hotel Haute Couture ,2023-12-03,L1581,Good,"Very nice hotel, guests were very impressed",
GDE-44,GDE_Guide,Le Thi Thuy Linh  - MHP ,2023-12-03,L1337,Good,"very good, guests loved ms Linh ",
GDE-44,GDE_Guide,Le Thi Thuy Linh  - MHP ,2023-12-03,L1581,Good,Great guide,
GDE-43,GDE_Guide,Vu Thi Huong Giang  - MHP ,2023-12-03,L1581,Good,very good,
HTL-02,HTL_Hotel,Alba Spa Hotel,2023-12-06,L1581,Good,"very nice. Their famous jacuzzi pool is open 4-7pm for free for guests so it's good to plan to finish the tour accordingly and let them use the facility, its a very nice one (heated)",
GDE-70,GDE_Guide,Cao Ngoc Dung  - Venus ,2023-12-06,L1581,Good,very good,
FNB-39,FNB_Restaurant,Quan Hanh Hue,2023-12-06,,Good,"very nice place, lots of hue small food bites tasting options",
FNB-40,FNB_Restaurant,Vu Di teahouse,2023-12-07,L1581,Neutral,low to serve tea and looking very empty,
HTL-51,HTL_Hotel,Hoi An Historic Hotel,2023-12-08,L1581,Good,Nice hotel,
FNB-38,FNB_Restaurant,Vy's Market ,2023-12-08,L1581,Bad,"super touristy, quite loud and smaller portions",
FNB-35,FNB_Restaurant,Anh Trang Quan,2023-12-09,L1581,Good,Very local but also very tasty food and great location just outside the pedestrian bridge to the show - easy to control time,
FNB-34,FNB_Restaurant,Y Thao Garden,2023-12-09,L1581,Good,"nice restaurant, nice food",
FNB-09,FNB_Restaurant,Cooking Class Cu Chi,2023-12-09,L969,Good,good,
HMS-03,HMS_Homestay,Phuong Pham Homestay,2023-12-14,L1444,Bad,"Chi Pham didn't check rooming list, arrange 6 rooms instead of 8 rooms needed",
HTL-90,HTL_Hotel,Tirant Hotel,2023-12-26,L2381,Good,"Nice hotel with good BF, skybar",
CRS-08,CRS_Cruise,La Casta Cruise ,2023-12-28,L2381,Good,boat and food very nice,
HTL-80,HTL_Hotel,Senna Hue Hotel,2023-12-29,L1381,Good,"hotel is great, plenty of space, large rooms and bathrooms and breakfast choice is amazing",
GDE-63,GDE_Guide,Doan Dang Khoi - Venus ,2023-12-29,L1381,Good,"good, very good English",
FNB-37,FNB_Restaurant,Khong Gian Xua Hue,2023-12-30,L1381,Neutral,"Nice set up and food is ok, but nothing special.  they only had 1 bottle of white wine and 2 white wine glasses",
RST-08,RST_Resort,Flamingo Cat Ba ,2024-01-01,L1382,Good,best hotel during tour. Remember to request all rooms with balcony,
HTL-34,HTL_Hotel,Angkor Village Hotel,2024-01-01,W200,Good,"rooms are better, nicer smelling than at Lotus Blanc",
HTL-08,HTL_Hotel,Au Lac Charner,2024-01-01,L1732,Good,"best mix of quality, location and standard",
PRT-19,PRT_Partner_DMC,Minh MHP,2024-04-26,L1466,Bad,warm water during airport transfer,"Suong contact Minh
Minh noted this (just happened once on the day they arrived, days after already had cold water). Minh also noted during hot season, he will ask driver prepare more water for guests."
PRT-19,PRT_Partner_DMC,Minh MHP,2024-01-01,L1382,Bad,car was old a bit (mold on the ceiling),
PRT-19,PRT_Partner_DMC,Minh MHP,2024-03-12,W159,Good,"all goods, problem only with microphone (echo)",
PRT-19,PRT_Partner_DMC,Minh MHP,2024-01-01,W225,Good,"Good drivers in Hanoi. They are always nice, just the buses itself aren't supre new",
PRT-19,PRT_Partner_DMC,Minh MHP,2024-01-09,L1381,Bad,"Joining Ninh Binh tour but group is big for guests, tour so so",Suong contact Minh. Minh book Deluxe Joining tour but seem like not match with guest require => We ban JOINING tour
HTL-82,HTL_Hotel,Silverland Ben Thanh,2024-01-12,L1376,Bad,arrange lack of 1 coupe connecting rooms,
HTL-38,HTL_Hotel,Cicilia City Hotel Saigon Center,2024-01-25,W110,Neutral,"The receptionists are not nice, but bellboys, etc. quite ok. Not the best spot for big groups traveling by 45s, as it's on CMT8.",
RST-21,RST_Resort,Salinda Resort Phu Quoc Island,2024-01-27,L1572,Good,"guests liked it a lot, but they said the food was completely overpriced at the restaurant",
RST-19,RST_Resort,Pandanus Resort Mui Ne,2024-01-27,W110,Good,guests supper happy,
RST-02,RST_Resort,The Anam Mui Ne,2024-01-30,W113,Good,"dinner at the hotel was excellent
hotel was amazing for everyone
some of the staff could speak better English",
HTL-39,HTL_Hotel,Peridot Gallery Classic Boutique Hotel,2024-01-30,W113,Good,"ery nice rooms, high quality, very good manager, will be fully ready 10Mar, now still last touch ups and installation of jacuzzi and rooftop bar. Only one small lift is the biggest issue. Breakfast is great for a 4*, they largely serve similar menu / pastries as Grand Peridot",
