Country,Region/City,Tour Name,Default Time of Start,Number of days,EXCLUDED DATES,NOTES,PL TL YES/NO,num_pax,price
Thailand,Bangkok,Bangkok by Day,,1,,,NO,2,192.5
Thailand,Bangkok,Bangkok Nocą,,1,,,NO,2,165.0
Vietnam,Hoi An,Cooking Class Red Bridge haftday package,0.6041666666666667,1,No,,NO,2,104.42448979591836
Vietnam,HCMC,Cu Chi by boat,07:30AM,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,NO,2,248.5408163265306
Vietnam,HCMC,Cu Chi by boat,07:30AM,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,YES,2,330.1224489795918
Vietnam,HCMC,Culinary Cu Chi ,0.3125,1,29/01-02/02/2025,,NO,2,86.5561224489796
Vietnam,HCMC,Culinary Cu Chi ,0.3125,1,29/01-02/02/2025,,YES,2,173.94285714285715
Vietnam,HCMC,Full Day Saigon Tour,0.33333333333333326,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,NO,2,171.16224489795917
Vietnam,HCMC,Full Day Saigon Tour,0.33333333333333326,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,YES,2,222.89693877551022
Vietnam,HCMC,Half Day Saigon Tour,0.35416666666666674,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,NO,2,100.1
Vietnam,HCMC,Half Day Saigon Tour,0.35416666666666674,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,YES,2,159.68112244897958
Vietnam,Hanoi,Hanoi city tour fullday,08:30AM,1,"28/01-02/02/2025
29/04-02/05/2025 
31/08 - 02/09/2025",,NO,2,178.88367346938773
Vietnam,Hanoi,Hanoi city tour fullday,08:30AM,1,"28/01-02/02/2025
29/04-02/05/2025 
31/08 - 02/09/2025",,YES,2,273.6
Vietnam,Hanoi,Hanoi city tour short,08:00AM,1,"02/09/2024
28/01-02/02/2025
29/04-02/05/2025 
31/08 - 02/09/2025",,NO,2,135.7938775510204
Vietnam,Hanoi,Hanoi city tour short,08:00AM,1,"02/09/2024
28/01-02/02/2025
29/04-02/05/2025 
31/08 - 02/09/2025",,YES,2,215.1673469387755
Vietnam,Hanoi,Hanoi in a bowl,06:30AM,1,"02/09/2024
28/01-02/02/2025
29/04-02/05/2025 
31/08 - 02/09/2025",,NO,2,263.25612244897957
Vietnam,Hanoi,Hanoi in a bowl,06:30AM,1,"02/09/2024
28/01-02/02/2025
29/04-02/05/2025 
31/08 - 02/09/2025",,YES,2,356.4084693877551
Vietnam,Hanoi,Hanoi in a bowl short,06:30AM,1,"02/09/2024
28/01-02/02/2025
29/04-02/05/2025 
31/08 - 02/09/2025",,NO,2,199.30204081632652
Vietnam,Hanoi,Hanoi in a bowl short,06:30AM,1,"02/09/2024
28/01-02/02/2025
29/04-02/05/2025 
31/08 - 02/09/2025",,YES,2,284.72326530612247
Vietnam,Hoi An,Hoi An + My Son ,08:30AM,1,24/01-10/02/2025,,NO,2,153.0204081632653
Vietnam,Hue,Hue City tour,08:00AM,1,24/01-10/02/2025,,NO,2,144.9795918367347
Vietnam,Phu Quoc,Jeep tour (Northern Part),09:00AM,1,"Not available on 28.01-01.02/2025
Extra charge on: 2/9, 30/4-01/05, 25/12,31/12 & 01/01",,NO,2,103.5
Vietnam,Phu Quoc,Jeep tour (Southern Part),09:00AM,1,"Not available on 28.01-01.02/2025
Extra charge on: 2/9, 30/4-01/05, 25/12,31/12 & 01/01",,NO,2,103.5
Vietnam,Da Nang,Jeep tour haft day,08:30 AM or 02:00 PM,1,No,,NO,2,107.58825
Vietnam,HCMC,LACAPH coffee workshop experience,,1,to be update,,NO,2,71.63265306122449
Philippines,Manila,Manila 1D Tour,0.33333333333333326,1,to be update,,NO,2,158.7
Philippines,Manila,Manila 1D Tour,0.33333333333333326,1,to be update,,YES,2,475.7
Vietnam,Mekong Delta,Mekong Delta 1D Tour,0.33333333333333326,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,NO,2,162.9674693877551
Vietnam,Mekong Delta,Mekong Delta 1D Tour,0.33333333333333326,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,YES,2,201.7021632653061
Vietnam,Ninh Binh,Ninh Binh 1D,08:00AM,1,"
28/01-02/02/2025
29/04-02/05/2025 
31/08 - 02/09/2025",,NO,2,177.77122448979594
Vietnam,HCMC,Saigon by night,0.75,1,27/01/2025 - 02/02/2025,,YES,2,65.0
Vietnam,HCMC,Saigon foodie by night,06:00PM,1,"27/01/2025 - 02/02/2025
",,YES,2,97.78571428571428
Vietnam,HCMC,Saigon on the plate,06:30AM,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,NO,2,236.60326530612247
Vietnam,HCMC,Saigon on the plate,06:30AM,1,"27/01- 02/02/2025
30/04-01/05/2025
02/09/2025",,YES,2,290.390306122449
