Partner ID,Partner Type,Partner Name,Standard_Type,Description,Country,Location,Contact Person,Address,Status,Date Added,Date updated,By who?,Bank Account Number,Account Name,Bank name,Province - Branch
HTL-153,HTL_Hotel,22Land Hotel Saigon,4*,Can use as a lower-tier option if needed.,Vietnam  ,Ho Chi Minh City,,,,,,,,,,
FNB-01,FNB_Restaurant,5ku Station Thai Van Lung,Local BBQ,,Vietnam  ,Ho Chi Minh City,,,,,,,318918666,CONG TY TNHH TRAM 5.K.U,ACB,Ho Chi Minh - Thu Duc
HTL-121,HTL_Hotel,A&Em Art Hotel,4*,"Low reviews, do ",Vietnam  ,Ho Chi Minh City,,,,,,,,,,
HTL-01,HTL_Hotel,A&EM Saigon Hotel,4*,,Vietnam  ,Ho Chi Minh City,Mrs Hang - 0907 429 989,"39-41 Thu Khoa Huan Street, District 1, HCMC",,,,,112000149202,CONG TY TNHH MOT THANH VIEN A EM,Viettinbank ,Ho Chi Minh 
HTL-155,HTL_Hotel,Acnos Hotel Good,3*,Should not use.,Vietnam  ,Ho Chi Minh City,,,,,,,,,,
FNB-80,FNB_Restaurant,Al Sham Saigon,Syrian Halal Local Restaurant,,Vietnam  ,Ho Chi Minh City,Hotline - 0984597160,"314 Võ Văn Kiệt, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh, Vietnam",,,,,,,,
ATC-01,ATC_Attraction,Hanoi train street,,,Vietnam  ,Ha Noi,,,,,,,,,,
HTL-159,HTL_Hotel,Alba Hotel,3*,,Vietnam  ,Hue,,,,,,,,,,
HTL-02,HTL_Hotel,Alba Spa Hotel,4*,,Vietnam  ,Hue,Ms. Phuong - 0935855066,"29 Tran Quang Khai, Phu Hoi Ward, Hue City",,,,,0161000000965,CONG TY CO PHAN THANH TAN THUA THIEN HUE,VIETCOMBANK,
HTL-139,HTL_Hotel,Aliana Boutique Spa Hotel,4*,,Vietnam  ,Sapa,,,,,,,,,,
HTL-03,HTL_Hotel,Allegro Hoi An,4*,,Vietnam  ,Hoi An,Ms Dinh Lien - +84 235 3529 999,"86/2 Trần Hưng Đạo, Phường Minh An, Hội An, Quảng Nam",,,,,117642999999,CÔNG TY TNHH DAI PHAT HOI AN,Viettinbank,Quang Nam - Hoi An
HTL-132,HTL_Hotel,Almanity Hoi An Wellness Resort,5*,,Vietnam  ,Hoi An,,,,,,,,,,
FNB-21,FNB_Restaurant,Am Thuc Mong Sapa ,Vietnamese Restaurant,Open Space with big tables,Vietnam  ,Sapa,,,,,,,,,,
CRS-13,CRS_Cruise,Amanda Luxury Cruise,5*,,Vietnam  ,Ha Long, 0984 933 887,"366 Bạch Đằng, Chương Dương, Hoàn Kiếm, Hà Nội",,,,,,,,
CRS-33,CRS_Cruise,Ambassador Signature Cruise,5*,,Vietnam  ,Ha Long,+84 190 03045,"2F, Hanoi Tower, 49 Hai Ba Trung Street, Hoan Kiem District, Hanoi, Vietnam",,,,,,,,
HMS-04,HMS_Homestay,An s Eco Garden,Homestay,,Vietnam  ,Ninh Binh,Ms. Huyen Anh - 0969263981,"Binh Khe Hamlet, Ninh Nhat Commune, Ninh Binh City",,,,,161819999,CONG TY TNHH DICH VU DU LICH GIO VIET,VP Bank,
HTL-118,HTL_Hotel,Anatole Hotel Hanoi,4*,,Vietnam  ,Hanoi,,,,,,,,,,
FNB-81,FNB_Restaurant,Anatolia Turkish Cuisine - Halal Food in Saigon,Turkish Halal Restaurant,,Vietnam  ,Ho Chi Minh City,Hotline - 0705345858,"65 pasteur entry, 63/13 and 65 Pasteur, Bến Nghé, Quận 1, Hồ Chí Minh 700000",Approved,2025-07-29,Adi,,,,,
GDE-90,GDE_Guide,Andy - DTH Malaysia ,,,Malaysia  ,,,,,,,,,,,
HTL-34,HTL_Hotel,Angkor Village Hotel,4*,,Cambodia  ,Siem Reap, +855 12 333 615 ,"No 555, Phum Kruos, Sangkat Svay Dangkum, Siem Reap, Kingdom of Cambodia",,,,,,,,
RST-45,RST_Resort,Angkor Village Resort,,,Cambodia  ,,,,,,,,,,,
ATC-02,ATC_Attraction,SG Motorbike tour ,,,Vietnam  ,Ho Chi Minh City,,,,,,,,,,
FNB-35,FNB_Restaurant,Anh Trang Quan,Local Vietnamese Restaurant,,Vietnam  ,Hoi An,,,,,,,,,,
ATC-03,ATC_Attraction,Tra Su mangrove forest,,,Vietnam  ,Chau Doc,,,,,,,,,,
HTL-05,HTL_Hotel,Apricot Hotel,5*,,Vietnam  ,Ha Noi,Ms Yen - 0976 068 279,"136 Hang Trong Street, Hoan Kiem Dist., Hanoi",,,,,0011000021911,CONG TY CO PHAN PHU GIA,VIETCOMBANK,
FNB-64,FNB_Restaurant,Apsara Theatre,Cambodian Restaurant,,Cambodia  ,Siem Reap,,,,,,,,,,
CRS-18,CRS_Cruise,Aqua Elegance Cruise,5*,,Vietnam  ,Ha Long,+84 973 385 888,"Tầng 2, 156 Trần Duy Hưng, Q. Cầu Giấy, Hà Nội",,,,,,,,
CRS-01,CRS_Cruise,Aqua of the Seas Cruise,5*,,Vietnam  ,Ha Long,Ms.Giang- 0973385888,"Ofice: 2nd Floor, 156 Chan Duy Hung Street, Trung Hoa Ward, Cau Giay District, Hanoi City",,,,,113631196688,Chi nhanh Hai Phong - Cong ty TNHH Du lich va thuong mai ETG Viet Nam,Vietinbank,Quang Ninh - Bai Chay
HTL-148,HTL_Hotel,Aquari Hotel ,3*,Can use as a basic option but not ideal for higher-end clients.,Vietnam  ,Ho Chi Minh City,,,,,,,,,,
FNB-72,FNB_Restaurant,Aras KL Tower,,,Malaysia  ,Kuala Lumpur,,,,,,,,,,
RST-03,RST_Resort,Aravinda Resort Ninh Binh,5*,,Vietnam  ,Ninh Binh,Mr. Huu Nghia - 0868896885,"Hai Nham Hamlet, Ninh Hai Commune, Hoa Lu District, Ninh Binh Province",,,,,0491000093518,CONG TY TNHH HOA PHU GIA,VIETCOMBANK ,Hanoi - Thang Long
HTL-06,HTL_Hotel,Aristo Hotel,4*,,Vietnam  ,Ho Chi Minh City,Ms. Vuong - 0974250112,"3A Vo Van Tan St , Dist 3, HCMC",,,,,0071000998889,CONG TY TNHH MTV ARISTO HOTEL,VIETCOMBANK ,Ho Chi Minh
RST-04,RST_Resort,Aroma Beach Resort & Spa ,4*,,Vietnam  ,Mui Ne,Ms. Duyen - 0919520198,"Quarter 5, Phu Hai Ward, Phan Thiet City, Binh Thuan Province",,,,,0621000403934,CONG TY CO PHAN VIET HAN,Vietcombank,Binh Thuan
PRT-23,PRT_Partner_DMC,Asian Divers Robert Wurm,,,Thailand  ,,,,Secondary partner for BKK and KH,,,,,,,
CRS-02,CRS_Cruise,Aspira Cruise,5*,,Vietnam  ,Ha Long,Mr. Johnny - 0368399693,"Office : Suite 1202, HH1B Building, Linh Dam, Hoang Mai, Ha Noi",suspended,,,,5200066666,CONG TY CO PHAN DU LICH CARNIVAL HA LONG,VIETCOMBANK ,Quang Ninh
CRS-29,CRS_Cruise,Athena Luxury Cruise,5*,,Vietnam  ,Ha Long, +84 24 3927 6988,"3rd Floor, 25A Phan Dinh Phung Street, Quan Thanh Ward, Ba Dinh District, Hanoi, Vietnam.",,,,,,,,
CRS-30,CRS_Cruise,Athena Royal Cruise,5*,,Vietnam  ,Ha Long,02439 276 999 ," No 12-14, 171 Thinh Quang Alley, Dong Da Distr., Hanoi, Vietnam",,,,,,,,
